OBJECTID;NOM_ARRET;LIGNE;DIRECTION;NUMERIQUE_ARRET;LETTRE_DE_QUAI;SLOID;ORIENTATION_COMPASS;E;N
416;Genève, Augustins;18,12;18,12 (18 (Meyrin, CERN),12 (Thônex, Moillesulaz));AUGS00;X;ch:1:sloid:92780:0:415510;358;2500049.98;1116463.58
417;Genève, Place de Neuve;18,12,17;18,12,17 (18 (Grand-Lancy, Palettes),12 (Lancy-Bachet, gare),17 (Lancy-Pont-Rouge, gare));PNEV03;J;ch:1:sloid:92885:0:31158;222;2500017.08;1117408.06
418;Genève, Place de Neuve;18,12,17;18,12,17 (18 (Meyrin, CERN),12 (Thônex, Moillesulaz),17 (Annemasse, Parc Montessuit));PNEV02;I;ch:1:sloid:92885:0:364009;42;2500060.67;1117441.52
419;Grand-Lancy, Palettes;18,18;18,18 (18 (Meyrin, CERN),18 (Meyrin, CERN));PALE09;B;ch:1:sloid:92988:0:299650;;2498334.27;1114798.25
420;Meyrin, Hôpital de La Tour;18,67;18,67 (18 (Meyrin, CERN),67 (Crozet, école));HTOU00;A;ch:1:sloid:93013:0:111867;292;2494177.31;1120801.17
421;Meyrin, Hôpital de La Tour;18,A3,67;18,A3,67 (18 (Grand-Lancy, Palettes),A3 (Grand-Saconnex, Fret),67 (Meyrin, Gravière));HTOU01;B;ch:1:sloid:93013:0:74713;112;2494229.85;1120771.95
422;Onex, cité;19;19 (19 (Vernier, village));ONCI00;S;ch:1:sloid:93030:0:332351;154;2496646.24;1116091.24
423;Onex, cité;19;19 (19 (Onex, cité));ONCI01;;ch:1:sloid:93030:0:799517;;2496559;1116345
424;Vernier, village;19,06;19,06 (19 (Vernier, village),06 (Genève, Plage));VEVI01;D;ch:1:sloid:93177:0:2720;202;2495050.18;1118810.82
425;Vernier, De-Sauvage;19,23,06;19,23,06 (19 (Onex, cité),23 (Carouge GE, Tours),06 (Genève, Plage));JPSA01;U;ch:1:sloid:93161:0:3078;133;2496961.43;1118863.38
426;Vernier, Bois-des-Frères;19,23,06,51;19,23,06,51 (19 (Onex, cité),23 (Carouge GE, Tours),06 (Genève, Plage),51 (Genève, Nations));FRRE01;M;ch:1:sloid:93144:0:366311;112;2497163.76;1118706.59
427;Vernier, Champ-Claude;19,53,57,06,C8;19,53,57,06,C8 (19 (Vernier, village),53 (Vernier, Parfumerie),57 (ZIMEYSA, gare),06 (Vernier, village),C8 (Vernier, Bois-Chébé));CHCL00;O;ch:1:sloid:93150:0:830668;223;2495811.07;1119376.13
292;Bernex, Pré-Marais;14;14 (14 (Meyrin, Gravière));PRMA01;F;ch:1:sloid:8132:0:630363;;2494954.26;1115150.01
